influencer_name,influencer_linkedin_url,content,content_type,post_url,posted_at,likes,comments,topic,collected_at,verification_status,engagement_note,source_url
"Tenille Davis, PharmD, RPh, BCSCP, FAPC",https://www.linkedin.com/in/tenille-davis-547369164,"Davis welcomes APC's new State Regulatory Affairs Director, reinforcing the association's focus on state legislative and regulatory issues affecting pharmacy compounding.",public_post_summary,https://www.linkedin.com/posts/tenille-davis-547369164_so-exited-to-welcome-sarah-derr-to-the-apc-activity-7499128029583974400-h7oW,2026-08-28,,,Regulatory / Advocacy,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/tenille-davis-547369164_so-exited-to-welcome-sarah-derr-to-the-apc-activity-7499128029583974400-h7oW
Shaun Noorian,https://www.linkedin.com/in/shaun-noorian,Noorian describes automated vial filling as a way to deliver repeatable precision at high volume while keeping personalization in the formulation.,public_post_summary,https://www.linkedin.com/posts/shaun-noorian_every-vial-on-this-line-moves-in-the-same-activity-7498382511694049280-J5qM,2026-08-26,69,6,Automation / Pharmacy Operations,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/shaun-noorian_every-vial-on-this-line-moves-in-the-same-activity-7498382511694049280-J5qM
Shaun Noorian,https://www.linkedin.com/in/shaun-noorian,"Noorian walks through an automated sterile-filling workflow using checkweighing, dose verification, automated rejection, and nitrogen overlay for oxygen-sensitive medications.",public_post_summary,https://www.linkedin.com/posts/shaun-noorian_what-you-are-looking-at-is-the-inside-of-activity-7495124798629531648-okNZ,2026-08-17,130,11,Sterile Compounding / Quality,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/shaun-noorian_what-you-are-looking-at-is-the-inside-of-activity-7495124798629531648-okNZ
"Jonathan Adly, PharmD, MBA",https://www.linkedin.com/in/jonathan-adly,Adly argues that hormone-replacement therapy is a high-growth but operationally complex compounding category requiring personalization and pharmacist involvement.,public_post_summary,https://www.linkedin.com/posts/jonathan-adly_hormone-replacement-therapy-is-quickly-becoming-activity-7495124605003698176-snmp,2026-08-17,,,HRT / Compounding Operations,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/jonathan-adly_hormone-replacement-therapy-is-quickly-becoming-activity-7495124605003698176-snmp
"Scott Brunner, CAE",https://www.linkedin.com/in/rscottbrunner,Brunner reports that California AB 1990 was stopped and frames it as part of APC's broader fight against restrictive compounding legislation.,public_post_summary,https://www.linkedin.com/posts/rscottbrunner_heres-a-text-i-was-glad-to-receive-just-activity-7493764781821112322-17lM,2026-08-13,57,1,Regulatory / Patient Access,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/rscottbrunner_heres-a-text-i-was-glad-to-receive-just-activity-7493764781821112322-17lM
"Scott Brunner, CAE",https://www.linkedin.com/in/rscottbrunner,"Brunner argues that compounding policy should distinguish prescribing, pharmacy practice, sourcing, manufacturing controls, and patient-specific need instead of collapsing them into one risk.",public_post_summary,https://www.linkedin.com/posts/rscottbrunner_sloppy-arguments-make-sloppy-policy-activity-7492939517348462592-dPJT,2026-08-11,18,7,Regulatory / Compounding Policy,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/rscottbrunner_sloppy-arguments-make-sloppy-policy-activity-7492939517348462592-dPJT
Shaun Noorian,https://www.linkedin.com/in/shaun-noorian,"Noorian describes validated equipment-cleaning cycles, measurable acceptance criteria, batch records, and contamination-control practices between compounding runs.",public_post_summary,https://www.linkedin.com/posts/shaun-noorian_this-is-how-we-clean-every-utensil-every-activity-7492588097658966016-sDlN,2026-08-10,87,3,Quality & Validation,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/shaun-noorian_this-is-how-we-clean-every-utensil-every-activity-7492588097658966016-sDlN
"Scott Brunner, CAE",https://www.linkedin.com/in/rscottbrunner,Brunner explains why Lilly's planned retatrutide BLA filing does not mean FDA has agreed the drug should be regulated as a biologic.,public_post_summary,https://www.linkedin.com/posts/rscottbrunner_compounding-pharmacycompounding-activity-7490846991095222272-RX9P,2026-08-05,26,1,Regulatory / Peptides,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/rscottbrunner_compounding-pharmacycompounding-activity-7490846991095222272-RX9P
"Pat Stephens, PharmD, CQA",https://www.linkedin.com/in/pat-stephens-pharmd,"Stephens warns that pharmacies sterilizing non-sterile components in-house assume responsibility for validating sterilization, depyrogenation, monitoring, and requalification.",public_post_summary,https://www.linkedin.com/posts/pat-stephens-pharmd_sterilecompounding-503a-usp797-activity-7490462803326222336-WmQ-,2026-08-04,,,Sterile Compounding / Validation,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/pat-stephens-pharmd_sterilecompounding-503a-usp797-activity-7490462803326222336-WmQ-
Shaun Noorian,https://www.linkedin.com/in/shaun-noorian,"Noorian describes connected control systems, sensors, environmental probes, and automated equipment as the digital backbone for auditable and repeatable compounding at scale.",public_post_summary,https://www.linkedin.com/posts/shaun-noorian_what-you-are-looking-at-are-the-control-cabinets-activity-7490051363658342401-8Vq1,2026-08-03,121,6,Automation / Quality Systems,2026-09-07,publicly_verified,Visible public LinkedIn snapshot; blank values mean the count was not consistently exposed.,https://www.linkedin.com/posts/shaun-noorian_what-you-are-looking-at-are-the-control-cabinets-activity-7490051363658342401-8Vq1
