rank,name,title,company,linkedin_url,follower_snapshot,relevance_score,activity_score,engagement_score,credibility_score,overall_score,research_date,notes,source_url_1,source_url_2,sample_recent_post_url
1,"Scott Brunner, CAE",Chief Executive Officer,Alliance for Pharmacy Compounding,https://www.linkedin.com/in/rscottbrunner,"~5,000",99,96,82,99,95.0,2026-09-06,"National compounding-industry association CEO; highly active on 503A/503B policy, FDA/PCAC, peptides, patient access, and state/federal advocacy.",https://www.linkedin.com/in/rscottbrunner,https://a4pc.org/staff,https://www.linkedin.com/posts/rscottbrunner_forgive-me-for-tooting-our-horn-but-this-activity-7421674825628164096-9nyS
2,Shaun Noorian,Founder & CEO,Empower Pharmacy,https://www.linkedin.com/in/shaun-noorian,"~11,000",98,95,84,98,94.6,2026-09-06,"Leads a large 503A compounding pharmacy and 503B outsourcing operation; frequent posts on sterile filling, automation, validation, quality systems, and personalized medicine.",https://www.linkedin.com/in/shaun-noorian,https://www.empowerpharmacy.com/about/our-story/,https://www.linkedin.com/in/shaun-noorian
3,"Shawn Hodges, PharmD",Chief Executive Officer,Revelation Pharma Corporation,https://www.linkedin.com/in/shawn-hodges-pharmd-a96a249,"~4,000",97,94,85,96,93.8,2026-09-06,"Compounding-pharmacy CEO and former APC board leader; highly active on peptides, PCAC/FDA policy, quality, compliance, innovation, and pharmacy ownership.",https://www.linkedin.com/in/shawn-hodges-pharmd-a96a249,https://www.linkedin.com/posts/shawn-hodges-pharmd-a96a249_fda-moved-to-remove-12-peptides-from-the-activity-7450623367424053248-yHKM,https://www.linkedin.com/posts/shawn-hodges-pharmd-a96a249_wow-what-a-day-the-fdas-pharmacy-compounding-activity-7486205519251202048-DCDG
4,Eric S. Kastango,Retired Pharmacist & Compounding Quality Expert,Independent,https://www.linkedin.com/in/erickastango,"~8,000",96,80,88,100,92.0,2026-09-06,"Longtime sterile-compounding quality and patient-safety expert who remains publicly active after retirement on FDA, 503B, contamination control, GLP-1, and quality topics.",https://www.linkedin.com/in/erickastango,https://www.linkedin.com/posts/erickastango_cder-update-activity-7455990170551582720-Zr90,https://www.linkedin.com/posts/erickastango_patientsafety-compounding-pharmacy-activity-7413263859823689728-pK-I
5,"Amy Summers, PharmD, BCSCP, FAPC",Founder & CEO,Restore Health Consulting,https://www.linkedin.com/in/amy-summers-pharmd-bcscp-fapc-20b04a93,"~2,000",99,88,78,96,92.0,2026-09-06,"Sterile-compounding and compliance consultant focused directly on 503A/503B operations, validation, facility design, inspection readiness, quality systems, and regulatory strategy.",https://www.linkedin.com/in/amy-summers-pharmd-bcscp-fapc-20b04a93,https://www.linkedin.com/posts/restore-health-consulting_amy-summers-pharmd-bcscp-fapc-consultant-activity-7472359181329518592-cRgG,https://www.linkedin.com/posts/amy-summers-pharmd-bcscp-fapc-20b04a93_503a-503b-activity-7452792182861758464-Ugzm
6,"Viral Jani, PharmD",Chief Operating Officer,Town & Country Compounding Pharmacy,https://www.linkedin.com/in/viral-jani-pharm-d-a124b3100,"~1,300",96,88,90,90,92.0,2026-09-06,"Compounding-pharmacy operations leader with sterile-compounding experience; active on compounding advocacy, patient access, industry events, operations, and compliance.",https://www.linkedin.com/in/viral-jani-pharm-d-a124b3100,https://tccompound.com/pages/our-team,https://www.linkedin.com/posts/viral-jani-pharm-d-a124b3100_compoundingpharmacy-pcca-act2026-activity-7460733131906576384-qgu2
7,"Pat Stephens, PharmD, CQA",Pharmacist & GMP Quality Consultant,Stephens GMP Consulting,https://www.linkedin.com/in/pat-stephens-pharmd,"~4,000",99,86,78,97,91.8,2026-09-06,"Highly technical compounding and GMP quality voice focused on sterile processing, USP <797>, validation, inspection readiness, quality systems, 503A/503B, and regulatory compliance.",https://www.linkedin.com/in/pat-stephens-pharmd,https://pubmed.ncbi.nlm.nih.gov/36720062/,https://www.linkedin.com/in/pat-stephens-pharmd
8,"Tenille Davis, PharmD, RPh, BCSCP, FAPC",Chief Advocacy Officer,Alliance for Pharmacy Compounding,https://www.linkedin.com/in/tenille-davis-547369164,"~2,000",98,86,78,97,91.4,2026-09-06,"National advocacy and regulatory leader focused on compounding policy, GLP-1s, state regulation, USP interpretation, patient access, and professional education.",https://www.linkedin.com/in/tenille-davis-547369164,https://a4pc.org/staff,https://www.linkedin.com/posts/tenille-davis-547369164_so-exited-to-welcome-sarah-derr-to-the-apc-activity-7499128029583974400-h7oW
9,"Patricia C. Kienle, RPh, MPA, BCSCP, FASHP","Director, Accreditation and Medication Safety",Cardinal Health,https://www.linkedin.com/in/patricia-kienle,"~3,000",94,78,90,100,91.2,2026-09-06,"Nationally recognized sterile-compounding, hazardous-drug, accreditation, and medication-safety expert; active on USP <797>/<800>, BUDs, compliance, and education.",https://www.linkedin.com/in/patricia-kienle,https://www.aihp.org/about/people/patricia-c-kienle/,https://www.linkedin.com/in/patricia-kienle
10,"Jonathan Adly, PharmD, MBA",Founder & CEO,TJM Labs,https://www.linkedin.com/in/jonathan-adly,"~6,000",86,94,86,90,88.4,2026-09-06,Pharmacist and pharmacy-automation founder; broader than compounding alone but frequently discusses operational automation and has built workflows specifically for compounding pharmacies.,https://www.linkedin.com/in/jonathan-adly,https://tjmlabs.com/about-us/,https://www.linkedin.com/posts/jonathan-adly_compounding-pharmacies-kept-bringing-me-the-activity-7455979468906557440-0sov
